ItemName,original_type,original_subtype,frequency
分期費用第三期 (請於 2025/8/1日前繳交) 12000 元 x,服飾,針織,3
(滿1999送切切樂)【Pampers 幫寶適】一級幫紙尿褲玩具盒裝（S60片x2包+M52片） 1239 新台幣 x,嬰幼童與母親,嬰幼童紙尿褲,3
分裝加拿大 MGM無麩質大燕麥片傳統型原裝為有機商品 附脫氧劑 1kg,食品,沖泡品,3
分格水泥錶 港灣款,包包/配件/精品,手錶,3
空間租賃 忠孝一店Room D $170/時 : 3 小時,不動產與租賃,房租租賃,3
空間租賃 忠孝一店Room D $170/時 : 2.5 小時,不動產與租賃,房租租賃,3
空間租賃 忠孝一店 Room D $170/時 : 4.5 小時,不動產與租賃,房租租賃,3
空間租賃 忠孝一店 Room B $145/時 : 8 小時,不動產與租賃,房租租賃,3
分裝法國布爾喬亞全麥麵粉T150石磨粉 附脫氧劑 4kg,美妝保養,防曬品,3
【半箱購15入】抗菌濕紙巾Sanitizing20抽,嬰幼童與母親,嬰幼童用品,3
【半箱 里奧納多 Leonardo 鮮肉主食罐 200g】無穀 德國 主食罐 貓罐 貓 罐 810 元 x,寵物,寵物營養保健品,3
【半箱 可莉司朵 Köstlicher 鮮肉主食罐 200g】無穀 鮮肉 低敏 德國 主食罐 貓罐 貓 罐 750 元 x,寵物,寵物營養保健品,3
【半箱 可莉司朵 Köstlicher 鮮肉主食,寵物,寵物營養保健品,3
(IMAX)星際效應_10周年紀念 IMAX雙人吉拿套票 J排22號、(IMAX)星際效應_10周年紀念 IMAX雙人吉拿套票 J排23號、 1169 新台幣 x,服務、票券,門票,3
分裝日清製粉低筋麵粉紫羅蘭 附脫氧劑 4kg,美妝保養,防曬品,3
分裝日本麥之風工房低筋麵粉糕點師 附脫氧劑 8kg,食品,烘焙食材,3
分裝日本薩南製糖釜焚島砂糖營業用版 5kg,食品,餐飲,3
分裝德國 JRS燕麥纖維增添烘焙成品膳食纖維1000g,食品,烘焙食材,3
分裝奧本製粉烏龍麵粉麵京美人可替代中筋麵粉 附脫氧劑 4kg,食品,麵食,3
【半箱 葛蕾特 GranataPet 交響樂主食罐 200g】無穀 無膠 德國 主食罐 貓罐 貓 罐 1090 元 x,寵物,寵物零食,3
