ItemName,original_type,original_subtype,frequency
【OYeet 奧義】 NEX mini 小鋼彈筋膜槍MG-M1 (灰色/一般) 3790 元 x,家電影音,生活家電,12
【父親節限量88組】MiniBle i 除氯過濾微氣泡蓮蓬頭MiniBle Q微氣泡起波器-標準版（贈：父親節限定修飾環） - HerherS Design,家電影音,家電美容,12
【ScienceBaby】雪鑽創意家(60PCS),郵購與傳銷,其他傳銷事業,12
DLO24 雙打補金額,運動/健身,球類運動,12
Roots 配件- OUTDOORS隱形襪(2入組),服飾,襪子,12
blaire限定-久賴呼呼被-秋日繁花,居家生活,傢具,12
"9/5 11:00am 開始預購！【下面一位 NEXTONE】聯名短袖TEE - 曜石黑, 4XL",服飾,T恤,12
基本救命術 彰化員林10月班,服務、票券,課程,12
Roots 女裝- ACTIVE短袖上衣,服飾,T恤,12
2025/12/14(日) 台中場,居家生活,餐廚,12
假日 景觀雙人房晚上8點可入住,戶外/旅行,住宿訂房,12
集運服務 975 新台幣 x,金融服務,其他金融服務,12
【OGC情趣用品】OGC。修女的告解腔～入室者，罪赦免！！,成人專區,情趣用品,12
杏仁酸plus套組(化妝水150ml+玻尿酸精華30ml+洗面乳100ml)+杏仁酸精華加大60ml任選二款 贈修護安瓶面膜5片 (DIDI推薦)-杏仁酸5%60ml+10%60ml,娛樂、收藏,CD&DVD,12
"9/5 11:00am 開始預購！【下面一位 NEXTONE】聯名短袖TEE - 曜石黑, 3XL",服飾,T恤,12
基本救命術 彰化員林05月班,服務、票券,課程,12
崙湞客製化窗口9,健康保健,醫療,12
【現貨含運】MOZTECH 萬能充Pro 多功能五合一 行動電源 1850 元 x,手機平板與周邊,行動電源,12
【Simple Traveler】超壓縮行動衣櫥2.0-L-白色,郵購與傳銷,其他傳銷事業,12
【燃燈節】上師薈供祈福暨大威德金剛超度法會 300 元 x,教育與社會服務,公益捐款,12
【預購】雄鷹隊史百勝紀念球衣 - 2L,運動/健身,健身運動器材,12
維生素D膠,健康保健,保健食品,12
114.05.04牙科顯微鏡的革新應用 1500 元 x,服務、票券,課程,12
【Softism】0.3mm極薄無痕褲(五件組M-2XL) 另有五件組全黑/全膚 (五件全黑 M (40-50kg)/一般) 899 元 x,服飾,內睡衣,12
Roots 配件-經典傳承系列 動物長襪,服飾,襪子,12
租車 1750 元 x,服務、票券,生活服務,12
菁英領袖訓,服務、票券,課程,12
25年9月社團合併專用賣場請選自己名字-2,娛樂、收藏,公仔,12
菇菇推薦免運組（辣味）,食品,麵食,12
基礎級 數學 (合格) 150 元 x,服務、票券,報名費,12
花總團購 越敷越漂亮的發光凍膜 2件組,美妝保養,化妝品,12
"鬆緊棉質短褲 - S, 深灰",服飾,短褲,12
【爆款預購】Hunter Fan(HF) 1/4 & 1/6 酷拉皮卡 HUNTERxHUNTER全職獵人,娛樂、收藏,公仔,12
我的0歲小孩 - 01/30(一) 晚上19:00~22:,服務、票券,課程,12
防翻機器人 600 元 x,電玩遊戲,角色扮演,12
114.11.02全口假牙一百問,服務、票券,課程,12
【Somi】24小時束腰臀褲(後脫式) - M,運動/健身,健身運動器材,12
【Somi】24小時束腰臀褲(後脫式)E - M,運動/健身,健身運動器材,12
114-4（僅供私人團體班成員報名）【週二】9:40-10:40－TRX全身雕塑白天A班-114-4（僅供私人團體班成員報名）【週二】9:40-10:40－TRX全身雕塑白天A班(114-4（僅供私人團體班成員報名）【週二】9:40-10:40－TRX全身雕塑白天A班),服務、票券,禮券,12
崙湞客製化窗口4,健康保健,醫療,12
Roots 大童-RootsXCLOT聯名系列 有機棉短袖T恤,服飾,T恤,12
dongj93925@gmail.com ( 統編: 未填寫 ),服務、票券,系統費,12
【Somi】裸感無鋼圈內衣(3件組) - Plus Size,服飾,丹寧牛仔,12
Zero Breeze Mark 3 - BASIC（1 AC *沒有電池） x 1,3C與筆電,電腦零組件,12
堤亞穆帝國物語09,書籍及雜誌期刊,漫畫,12
堅果商品 1710 元 x,食品,零食,12
票券 400元,服務、票券,門票,12
黏土人多功能隨身包,服飾,其他服飾,12
114.05.25二極體雷射應用：牙科的新藍海 VPT 1500 元 x,服務、票券,課程,12
世界盃冠軍款 潘納朵尼(小) 520 元 x,食品,甜點,12
世界盃冠軍款 巧克力潘納朵尼(小) 680 元 x,食品,甜點,12
JOGUMAN安全帽BRACHIOandLOVETHEMEand與你相伴款 1499 元 x,包包/配件/精品,帽子,12
"114高考(三級)一般民政B全套雲端函授數量：1套,",書籍及雜誌期刊,教科參考書,12
[ 第四波預購 ] 外銷版MT-70碳纖維硬殼全皮革短手套-M號,汽機車零件百貨,機車騎士用品,12
Monogram 飾牌雙面皮帶 3.5 公分,包包/配件/精品,皮件,12
菠蘿酥8入【加開・9/22~9/25出貨】,食品,烘焙食材,12
崙湞客製化窗口15,健康保健,醫療,12
(中文)電影蠟筆小新：我們的恐龍日記_人偶特別場 活動票 400 新台幣 x,服務、票券,門票,12
Roland FP-30X 電鋼琴/可攜帶/4代琴鍵/藍芽喇叭/藍芽app,娛樂、收藏,樂器,12
Roblox 《曠野傳說》｜2024 冬令營,服務、票券,課程,12
Roblox 遊戲開發入門 Lv2,服務、票券,課程,12
菠蘿酥8入【預購・8/22-23出貨】,食品,烘焙食材,12
海外線上奉獻 — 什一奉獻 x,教育與社會服務,公益捐款,12
"114高考(三級)一般行政全套雲端函授數量：1套,113全部考試共用單科法學緒論單科雲端函授數量：1套,",服務、票券,課程,12
（任2箱折200）【包大人】親膚防漏成人紙尿褲L號（13片X6包／箱） 1290 新台幣 x,嬰幼童與母親,成人紙尿褲,12
"泰5*1,火雞5*1,炸醬5*1,免運",食品,蛋糕,12
斗內一隻貓貓日口愛大貓咪!,娛樂、收藏,頻道贊助,12
二月「緣來圓滿」祈福香組 500元 X,其他大類,其他,12
贊助-朵拉2,娛樂、收藏,頻道贊助,12
MODEROID EVANGELION初号機 Metallic Type Ver.1600TWD,娛樂、收藏,玩具,12
MODEROID GRIDKNIGHT ＆ GOLDBURN（二次受注）1070TWD,娛樂、收藏,玩具,12
進階款浴室洗臉台蓮蓬頭 濾芯補充包,郵購與傳銷,其他傳銷事業,12
電商商品 187 元 x,其他大類,其他,12
114-1 D-1 客家音樂二胡初階(優先續報-個報) 2800 元 x,服務、票券,課程,12
114-1 B-3 客衫進階：對襟夾裡背心 2800 元 x,服務、票券,課程,12
囤貨搶購組合－PrP生髮精華（買二送一） 9600 元 x,美妝保養,美髮護理,12
報名/註冊費 800 元 x,服務、票券,課程,12
報名二堂 每人每堂 3000元社團法人中華財經發展協會董監課程,服務、票券,課程,12
【NEOFLAM】FIKA系列波紋木柄烤盤組,郵購與傳銷,其他傳銷事業,12
贈 NEOFLAM童趣冰球製冰盒2入組,郵購與傳銷,其他傳銷事業,12
"燕麥脆片嘗鮮組 | 燕麥脆片x3+隨手包x1-巧克力+抹茶+摩卡口味 , 日月潭紅茶",食品,零食,12
【預購】顏社 LOGO 刺繡Tee - xl,娛樂、收藏,CD&DVD,12
AQUARIST 水槽彈跳芯-一入組,運動/健身,健身運動器材,12
Roots大童-絕對經典系列 海狸LOGO有機棉棒球上衣,服飾,其他服飾,12
Roots大童-繽紛花卉系列 刺繡花草寬版短袖T恤,服飾,T恤,12
做自己的珠寶設計師：揮灑你獨有的創意,包包/配件/精品,飾品,12
做自己的發光旅程,服務、票券,宗教服務,12
日本-晴王麝香葡萄盒裝,食品,生鮮食品,12
6(1房),食品,生鮮食品,12
OK KOREA商品一批 299 TWD x,其他大類,其他,12
[ 藍色 ] Nano 睡眠手環,運動/健身,運動用品,12
(會員紅利點數兌換專用)力增飲18%蛋白質管理 原味,運動/健身,運動健身能量補給,12
Roots大童-戶外探險家系列 長袖上衣,服飾,其他服飾,12
北海岸 音樂劇演員培訓報名費,服務、票券,課程,12
北海岸追風輕騎營#,戶外/旅行,戶外休閒運動,12
【TAICEND 泰陞】寶貝液體護膜最新升級版 - 萬用噴霧（70ml x1入組 + 100ml x2入組） 2150 元 x,美妝保養,化妝品,12
帕蘿妮 頻道贊助金額 100 新台幣 x,娛樂、收藏,頻道贊助,12
回憶拼圖~ FUN膽玩童年 Puzzle of Memories~Fun-filled Childhood Adventures#,服務、票券,場地費,12
#1129Fri2145戀夏500日500DaysofSummer2105開放入場,服務、票券,門票,12
【Mufasa】4代雙速磁旋攪拌杯(經典款) 贈Body Goals蛋白飲*1(口味隨機),郵購與傳銷,其他傳銷事業,12
報名人數:3歲以上（包含陪同大人）4人,居家生活,餐廚,12
eSIM 中國上網 1-30天｜4G/5G 吃到飽,服務、票券,電信,12
報名年會-學生票和加購1本紙本摘要手冊 800 元 x,服務、票券,生活服務,12
eSIM 美國通話 上網 4-90天｜T-Mobile 電信｜4G/5G 吃到飽 - 15天,服務、票券,電信,12
雙11專案【夏普】42吋聯網電視 4T-C42DK1X-FS 8000 新台幣 x,家電影音,影音設備,12
2160盞月光燃燈 3000 元 x,教育與社會服務,公益捐款,12
N2C STUDIO商城商品一批,其他大類,其他,12
四面佛聖誕,其他大類,其他,12
健包灰B,鞋類,運動鞋,12
隨緣素齋餐盒(附湯),食品,餐飲,12
四階能量守護組-一套_商品預計4/25出貨,裝潢與建築,電力系統零件,12
OKsim商品一批 865 TWD x,其他大類,其他,12
帝國拓荒者:北方帝國大全套,服飾,其他服飾,12
雙11搶先衝一波💥55折頂級海陸免運組(頂級干貝、高麗菜鮮蝦、高麗菜鮮肉、韭菜鮮肉 各1盒),食品,海鮮,12
華裔青少年臺灣見學團Taiwan Study Tour for Overseas Youth#,服務、票券,場地費,12
[2025/10月促銷] -111 TWD x,服務、票券,課程,12
[2025/7月促銷] -111 TWD x,服務、票券,課程,12
[2025/12月促銷] -121 TWD x,服務、票券,課程,12
[2025/9月促銷] -121 TWD x,服務、票券,課程,12
【Mini嚴選】創意蛋糕絨浴室防滑地墊 多款任選,居家生活,派對用品,12
贊助一念蓮華臨終關懷及臨終助念 5000 元 x,服務、票券,宗教服務,12
"D01 本期推薦!𝑭𝒊𝒓𝒔𝒕 𝒔𝒏𝒐𝒘 羽絨小香𝒔𝒆𝒕 - 米白色, M",美妝保養,香水,12
O025夏天的橘色背心,服飾,T恤,12
漢聲租車旅遊集團-「送機 (船)」線上預約租車訂單 1350 元 x,服務、票券,生活服務,12
劍橋商務英語 64堂 (18個月) (Renew),服務、票券,課程,12
予樂樂2023生日限定週邊-親簽套組,娛樂、收藏,明星偶像商品,12
商品總金額 5401 TWD x,其他大類,其他,12
日本P&G Ariel 4D洗衣膠球首創碳酸機能 39顆 袋【3袋組 839 新台幣 x,美妝保養,洗髮乳洗髮精,12
9.9秋購物限定下殺7折 下單再折$300【國家認證樟芝王 唯一同時國家功效核可】認證樟芝王60粒*4瓶,健康保健,保健食品,12
華語創作天后G.E.M.鄧紫棋 第八張全創作專輯《啓示錄》典藏彩膠2LP - 純色版,娛樂、收藏,CD&DVD,12
3060.00元X1,其他大類,其他,12
*黃金土雞-去皮胸肉,食品,生鮮食品,12
放心豬-後腿肉絲,食品,生鮮食品,12
花東區 音樂劇演員培訓報名費,服務、票券,課程,12
邊緣戶餐點 愛心捐款10000元,教育與社會服務,公益捐款,12
雙11水潤光澤組,相機、攝影與周邊,監視設備,12
(滿班)【週五】18:15-19:15－TRX完美體態雕塑-【週五】18:15-19:15－TRX完美體態雕塑(【週五】18:15-19:15－TRX完美體態雕塑),服務、票券,禮券,12
山藥體驗輕旅行-三貂嶺舊草嶺雙隧道/2024-10-10(2024-10-10) 990 元 x,服務、票券,旅遊票券,12
(福利品)新頭等艙PLUS臀感按摩椅 35000 TWD x,家電影音,家電美容,12
【產後癌症孕期術後成長月子營養首選】【冷凍型】台灣黃牛滴牛肉精 寵愛家人特惠3800/16入 滴牛精癌症術後保養免疫好幫手#,鞋類,工作鞋,12
牛津：36單元 (二年) + 超值主題大會堂∞(二年),書籍及雜誌期刊,語言學習書籍,12
"113高考(三級)社會行政全套雲端函授數量：1套,",服務、票券,課程,12
"113高考(三級)經建行政全套雲端函授數量：1套,",服務、票券,課程,12
(滿班)【週四】19:30-20:30－TRX全身雕塑-【週四】19:30-20:30－TRX全身雕塑(【週四】19:30-20:30－TRX全身雕塑),服務、票券,禮券,12
【THOMSON】路徑導航掃地機器人 TM-SAV22DS (一般/一般) 6688 元 x,家電影音,大型家電,12
非會員 3000 元 x,金融服務,其他金融服務,12
【Meiji 明治】嬰兒配方奶粉（850g／罐） 656 新台幣 x,嬰幼童與母親,嬰幼童食品,12
【Meetgood好活動】2023/06/11 俠醫楊智鈞高雄簽書座談會,服務、票券,生活服務,12
報名費 5600 元 x,服務、票券,報名費,12
贊助實況：天希Tensi,娛樂、收藏,頻道贊助,12
玩偶 布雷邦君（布雷邦）,娛樂、收藏,玩具,12
【Tefal特福】不沾平底鍋28cm(款式隨機) (B),家電影音,廚房家電,12
"113高考(三級)交通行政全套雲端函授數量：1套,",服務、票券,課程,12
華醫雪膠原素Q-Snowhit(30包),書籍及雜誌期刊,電子書及周邊,12
Tenorshare iCareFone - 取代iTunes的iPhone檔案管理軟體-Windows 微軟_1台電腦永久授權永久更新,3C與筆電,軟體,12
報名費: 2024金刻獎-2024金刻獎: 6 獎項報名費,服務、票券,報名費,12
(中文)電影蠟筆小新：我們的恐龍日記 網路全票 330 新台幣 x,服務、票券,門票,12
(中文)電影蠟筆小新：我們的恐龍日記 網路 學生/軍警票 300 新台幣 x,服務、票券,門票,12
網路購物商品 3840 元 x,其他大類,其他,12
防身噴霧x2支,美妝保養,美容工具,12
Kilie 柔美芭蕾風蝴蝶結真皮娃娃鞋,鞋類,休閒鞋,12
花兔門神*1 + 郵局50元,居家生活,居家裝飾,12
【VICTOR】{戴資穎專屬球拍} TK-TTY A 攻擊型頂級羽拍,運動/健身,運動用品,12
8週年限量圖片版 [KOT006] 溫蒂漫步 Wendy Wander - Midnight Blue 卡帶-全新,娛樂、收藏,卡牌,12
GUCCI 大鏡面墨鏡 57mm,郵購與傳銷,其他傳銷事業,12
健康寶貝 - 昆布3+海苔3 ( 6包一箱免運 ),嬰幼童與母親,嬰幼童食品,12
神農氏產品套組,美妝保養,美髮護理,12
Rhino講座｜室內裝修&建築建模運用 500 NT$ x,服務、票券,課程,12
【Maki x ROOTON】喚活極萃 深層豐盈組 洗髮精500ml/護髮素500ml/髮根噴霧150ml/護髮油100ml,美妝保養,化妝品,12
【Maktar】Qubii Duo USB-A備份豆腐組合包,手機平板與周邊,充電傳輸與轉接相關設備,12
【MUNICHI】國際電壓負離子水波紋蛋捲夾,美妝保養,美容工具,12
（好禮2重送）【補體素】成人優蛋白奶粉（750g／罐）原味 680 新台幣 x,健康保健,保健食品,12
2023年會暨學術論文國際研討會報名費 300 元 x,服務、票券,課程,12
神變萬燈隨喜護持 300 元 x,教育與社會服務,公益捐款,12
【MUMU寶寶粥】營養滿貫體驗組 5入盒 凡購買即加贈防水圍兜乙個,嬰幼童與母親,嬰幼童食品,12
【MamyPoko 滿意寶寶】活潑寶寶紙尿褲／尿布（XXL29片X4包／箱） 1156 新台幣 x,嬰幼童與母親,嬰幼童紙尿褲,12
47.使壞維納斯－誘惑、挑逗、回頭率（女香）12ml,美妝保養,化妝品,12
47.競速熊貓直排輪B班-週五課後 2800 元 x,服務、票券,課程,12
健康式 完整蛋白飲 原味 VIP賣場-月月健康二十四入組,運動/健身,運動健身能量補給,12
場次二 海廢不廢 200 元 x,服務、票券,課程,12
96iching 2300 元 x,文創商品,數位文創商品,12
商品總金額 5036 TWD x,其他大類,其他,12
關帝供養超薦祈福暨空行母薈供法會 200 元 x,教育與社會服務,公益捐款,12
李顧問海拉團隊,其他大類,其他,12
龍波瑞,書籍及雜誌期刊,電子書及周邊,12
種籽設計 2025 民間美365曆,文創商品,設計雜物,12
四度空間腕錶 44mm 駝色款,包包/配件/精品,手錶,12
0309 古典音樂會 2位 入場費 1600元,服務、票券,門票,12
"2024.8月「執業心理師的練功祕笈」系列講座(視訊課程) - 套裝4堂課, 學生價",服務、票券,課程,12
Lenovo ThinkPad T470 14吋 i7-7600U 8G 256G SSD 內顯／C級 3999 元 x,3C與筆電,筆記型電腦,12
Lentoaobservation商城商品一批,汽機車零件百貨,輪胎,12
李顧問賴志朋酵素,健康保健,保健食品,12
【VOTO】15L專屬配件-不鏽鋼蒸烤盤-特盛吃貨艾嘉,娛樂、收藏,頻道贊助,12
四方鮮乳 1680 元 x,食品,飲料,12
VDODO益菌微多多常常好益生菌膠囊 500 元 x,健康保健,保健食品,12
惡名昭彰 4769 TWD x,服飾,休閒運動服飾,12
N24 本期推薦!巴黎冬雪 貂絨外 - 杏色,服飾,外套,12
2025「謝艾娜Rina」寫真年曆,娛樂、收藏,明星偶像商品,12
斗內一隻給梨600辣！,食品,沖泡品,12
斗內一隻給老婆餵食,嬰幼童與母親,濕紙巾,12
四方鮮乳 1074 元 x,食品,飲料,12
113羅馬柱花籃A款 2500 元 x,服務、票券,生活服務,12
【MOZTECH】萬能充Pro 多功能五合一 行動電源 4色,手機平板與周邊,行動電源,12
塔羅牌-未來運勢大揭祕,食品,麵食,12
【MOZTECH】萬能充Pro 行動電源-冰河白 5/23後陸續出貨,手機平板與周邊,行動電源,12
【預購商品】23區DENIM Velvet Stretch窄管褲 (7/14-7/30止) × 1,服飾,休閒運動服飾,12
3色. 新毛巾綿2.0褲柔軟彈力寬褲〰️,服飾,丹寧牛仔,12
政府補助申請實戰班2日課程,服務、票券,禮券,12
效期至2026/03/16｜淑女手工青蔥醬(250ml),食品,餐飲,12
十二月「巧運妙得」祈福香組 500元 X,服務、票券,宗教服務,12
"115台電新進僱員綜合行政刷題班全套雲端函授數量：1套,",書籍及雜誌期刊,商業理財書籍,12
神諭意志輪項鍊-55cm,包包/配件/精品,飾品,12
"辣芒果 - 原色辣芒果（較大塊、較辣）, 330g(大包較划算)",食品,沖泡品,12
常溫寶寶粥—綜合口味4口味8包 2入/1盒 共4盒 x,嬰幼童與母親,嬰幼童食品,12
【WINYI】小海螺吸吮按摩器,成人專區,情趣用品,12
【WOKY】渾圓杯大容量保冰保溫杯770ML(含吸管)❤️如需加購配件請選此方案 (橡白/一般) 840 元 x,居家生活,餐廚,12
113永念高架花籃 3500 元 x,服務、票券,生活服務,12
李歐日文50音速記班 800 元 x,書籍及雜誌期刊,自我成長書籍,12
【預購】✦艾比2週年紀念 - 限定周邊預購 ✦-【套餐全特賞✦內含抱枕+r18電子桌布】,其他大類,其他,12
【預購】✦艾比誕生日紀念 - 艾比2025紀念套組 ✦-艾比生日套組,娛樂、收藏,公仔,12
Kichi kichi｜日式神級煎鍋・京都洋食屋主廚監製,家電影音,廚房家電,12
Grace Star｜波蘭伯利恆星星使者貝母手環,3C與筆電,穿戴裝置,12
"鬆緊棉質短褲 - L, 深灰",服飾,短褲,12
日本 VPN 進階型 - 效期 1 個月,3C與筆電,電腦周邊配件,12
[來店禮1%] -8 TWD x,服務、票券,課程,12
墊上皮拉提斯單人票 699 元 x,服務、票券,系統費,12
墊上皮拉提斯雙人票 1150 元 x,服務、票券,系統費,12
SUKI 限定-久賴家居-澎澎雲朵被2.0-可可華夫 1月中陸續出貨,居家生活,寢具,12
辦桌5K 灶起來,居家生活,居安防護,12
神級修飾高腰彈性魚尾裙 1130 新台幣 x,服飾,裙子,12
墊上皮拉提斯(SX),其他大類,其他,12
我參加兩天 1000 元 x,居家生活,餐廚,12
"113普考一般行政全套雲端函授數量：1套,112全部考試共用單科法學緒論單科雲端函授數量：1套,",服務、票券,課程,12
"幫寶適一級幫拉拉褲 M~XXL號2~6箱 - XL, 2箱",嬰幼童與母親,嬰幼童紙尿褲,12
李佳俐栗子 個人單曲『煙火下的約定』-NFC迷你單曲吊飾 (絢麗花火版)_握手會A場,食品,飲料,12
李佳俐栗子 個人單曲『煙火下的約定』-單曲CD (絢麗花火版)_握手會A場,食品,飲料,12
"115司法特考-四等法院書記官全套雲端函授數量：1套,114全部考試共用單科法學緒論單科雲端函授數量：1套,",書籍及雜誌期刊,教科參考書,12
板橋胖太太團購Flextailgear迷你營燈充氣幫浦真空收納袋現貨團899免運 三合一超迷你幫浦,戶外/旅行,戶外休閒運動,12
板橋胖太太團購Flextailgear迷你營燈充氣幫浦真空收納袋現貨團899免運 壓縮袋 L,戶外/旅行,戶外休閒運動,12
板橋胖太太團購Flextailgear迷你營燈充氣幫浦真空收納袋現貨團899免運 壓縮袋 M,戶外/旅行,戶外休閒運動,12
板橋胖太太團購Flextailgear迷你營燈充氣幫浦真空收納袋現貨團899免運 壓縮袋 S,戶外/旅行,戶外休閒運動,12
穩定成長192_每月8堂 +超值主題大會堂(二年) (2021年12月),服務、票券,課程,12
都蘭糖場往阿美民俗村 x 1 張,服務、票券,宗教服務,12
【預購商品／9.30上市】建築定位：說故事的能力(Architectural positioning：the ability to tell stories),嬰幼童與母親,童書,12
"下胸Say Hi - XL, baby blue",服飾,其他服飾,12
商品總金額 5004 TWD x,其他大類,其他,12
特色美食及無酒精飲品 4000 元 x,服務、票券,門票,12
惡名昭彰 4841 TWD x,服飾,休閒運動服飾,12
【當季最新鮮】活力胡蘿蔔(10kg散裝),食品,蔬果,12
贈 洗衣袋,郵購與傳銷,其他傳銷事業,12
【MIGRATORY】雙人極致涼感抱冰枕套床包組-薄荷灰綠,郵購與傳銷,其他傳銷事業,12
(8月初抵台) CELINE 快閃贈品網球系列帆布袋 大款,運動/健身,運動用品,12
（深藍色）好好背 全方位收納輕量護脊書包│書包 + 便當袋上學組合│再送大容量帆布提袋,嬰幼童與母親,童裝,12
商品總金額 5011 TWD x,其他大類,其他,12
【WU CLUB】玻尿酸保濕精華乳加大版(美肌學院限定)120ML,美妝保養,化妝品,12
【WU CLUB兌禮】10%菸鹼醯胺B5舒緩精華30ML,美妝保養,化妝品,12
創世紀 石墨烯蓄熱被,居家生活,居家香氛,12
2024.4.7(日) 新竹-將軍村｜二手市集攤位報名-單一規格,服務、票券,課程,12
Tahlia 免綁帶文青經典真皮休閒鞋,鞋類,休閒鞋,12
25年6月社團合併專用賣場請選自己名字-1,娛樂、收藏,公仔,12
SUKI 限定-久賴家居-澎澎雲朵被2.0-榛果咪咪,居家生活,寢具,12
"113律師司法官司律(選試財稅法)＋一二總全套雲端函授數量：1套,",金融服務,其他金融服務,12
嚴選2024桌曆50一箱(50本) 1950 元,其他大類,其他,12
副食品-G-1P-04大胃王大寶寶粥150g十四件組,嬰幼童與母親,嬰幼童食品,12
黃進文蓮霧商品一批 2223 TWD x,食品,食用油調味料,12
斗內一隻翻垃圾筒的浣熊,娛樂、收藏,玩具,12
金士頓 Canvas React Plus 256GB SDXC UHS-II V60 U3 記憶卡,3C與筆電,儲存裝置,12
"Thats mine.質感滿分筆直西裝褲 - M, 深棕",服飾,長褲,12
Coya 獨家攝影背景團購 (7/28 22:00結團) - 百搭石,相機、攝影與周邊,其他攝影服務,12
預約的服務: 五感派對-好忙的除夕夜（假日),其他大類,其他,12
贊助臨終關懷法寶 5000 元 x,服務、票券,宗教服務,12
贊助親愛愛樂–購置交通車(3台九人座箱型車),娛樂、收藏,玩具,12
OK KOREA商品一批 419 TWD x,其他大類,其他,12
山丘芭娜娜-12片裝 x1盒,食品,甜點,12
墾丁民宿 亞哥之家民宿訂房訂單,戶外/旅行,住宿訂房,12
Redmi Note 11 Pro 5G 灰色 6GB+128GB,手機平板與周邊,Android手機,12
不再硬塞出風口! Volvo 車系專屬 高質感手機支架 ( S60 | V60 | S90 | V90 | XC90 | XC60 | XC40 ) MU原廠公司貨 24H快速出貨,汽機車零件百貨,汽車,12
#1130Sat2055樂來越愛你Lalaland2015開放入場,服務、票券,門票,12
墾丁包棟民宿 鞍山庭園民宿訂房訂單,戶外/旅行,住宿訂房,12
十大系統精油2入組 X,美妝保養,化妝品,12
日月潭紅玉蛋黃酥+三峽碧螺春蛋黃酥 茶香月餅禮盒 x,食品,餐飲,12
"【滿額禮_可累贈】Ｂ+C或葉黃素1盒（限訂單滿30,000元才可以點選） 0 元 x",書籍及雜誌期刊,電子書及周邊,12
