ItemName,original_type,original_subtype,frequency
高濃縮雨刷精 清潔玻璃 保養雨刷膠條 雙效一體,汽機車零件百貨,汽車零件,3
高濃度魚油Q10軟膠囊*2 + 其他()0元,健康保健,保健食品,3
高濃度魚油(兩盒一組)【限時九折】-單一規格,健康保健,保健食品,3
惡名昭彰 1644 TWD x,服飾,休閒運動服飾,3
2023 格蘭雪莊園．銀雪月光．春摘紅茶,食品,飲料,3
M1IN0311309 3500 元 x,其他大類,其他,3
M1HD1321309 3000 元 x,其他大類,其他,3
M1HD0641309 3000 元 x,其他大類,其他,3
高磅數磨毛高腰束腹提臀彈力瑜珈運動褲 980 新台幣 x,服飾,休閒運動服飾,3
高磅數燈芯絨打折廓形褲高磅數燈芯絨打折廓形褲,服飾,長褲,3
高磅數廓形襯衫「短袖」,服飾,襯衫,3
M1MB1591309 3500 元 x,其他大類,其他,3
惡名昭彰 16351 TWD x,服飾,休閒運動服飾,3
2023 最新款暴力魚板 | Tynee mini3 全球設計最細膩全面的電動魚板,運動/健身,運動用品,3
M1BM1021309 3500 元 x,其他大類,其他,3
M1BM0841309 3500 元 x,其他大類,其他,3
M1BM0361309 3000 元 x,其他大類,其他,3
M1AD0591309 3000 元 x,其他大類,其他,3
2023 春節禮盒 A,食品,餐飲,3
M19 𝑴𝒂𝒓𝒄𝒉ིྀ春櫻 質感小香外 - 粉,服飾,外套,3
M15- Seamless 無痕高腰雕塑三角,服飾,內睡衣,3
M15 限量款!芭蕾風 綁帶長洋,服飾,洋裝,3
M142 板料圓框墨鏡,包包/配件/精品,眼鏡,3
M130X GLA 板料波士頓框眼鏡,包包/配件/精品,眼鏡,3
M13 𝑻𝒖𝒍𝒊𝒑 一字領𝒔𝒆𝒕ʚɞ,服飾,內睡衣,3
惡名昭彰 1581 TWD x,運動/健身,運動服飾,3
惡名昭彰 1578 TWD x,服飾,休閒運動服飾,3
M11 一眼溫柔 碎花𝐥𝐚𝐜𝐞 𝐭𝐨𝐩 - 米白色,服飾,T恤,3
M100+ USB3.1 Gen2 USB-C 對 USB-A 充電傳輸線 紅 390 新台幣 x,手機平板與周邊,手機周邊配件,3
惡名昭彰 15588 TWD x,服飾,休閒運動服飾,3
M09 挖腰設計 小花短洋ʚɞ - 粉,服飾,洋裝,3
M07 – 直角背光智能方鏡,包包/配件/精品,眼鏡,3
M06 𝑀𝑖𝑑𝑠𝑢𝑚𝑚𝑒𝑟 𝑔𝑎𝑟𝑑𝑒𝑛 油畫花洋 - S,服飾,毛衣,3
M13 – 大圓角背光智能方鏡,包包/配件/精品,眼鏡,3
M12名牌PRADA風格質感立領義大利進口綿羊皮皮衣 (咖啡) …等等，總共有 1 件商品,服飾,外套,3
惡名昭彰 15638 TWD x,服飾,休閒運動服飾,3
"M05 設計師款!24年的生日典藏 珍珠雪紡洋 - S, 黑色",服飾,洋裝,3
M05 設計師款!24年的生日典藏 珍珠雪紡洋 - S,服飾,洋裝,3
M03 – 外磨砂智能方鏡,包包/配件/精品,眼鏡,3
M024 高架花籃 弔唁藝術花籃 追思花禮 桃園花店,居家生活,沙發,3
M10 一字領 綁帶度假洋❀ - 白,服飾,洋裝,3
惡名昭彰 1557 TWD x,服飾,休閒運動服飾,3
惡名昭彰 1555 TWD x,服飾,休閒運動服飾,3
惡名昭彰 1543 TWD x,服飾,休閒運動服飾,3
惡名昭彰 1551 TWD x,服飾,休閒運動服飾,3
高端設計師質感霧面皮革西外,服飾,外套,3
高空舞躍®Bungee 師資培訓 - 第54屆 台北場2024/11/2.3,服務、票券,課程,3
高科大 X 印好禮盒,其他大類,其他,3
高磅棉短褲 休閒抽繩短褲,服飾,休閒運動服飾,3
"M02 本期推薦! 𝓖𝓮𝓷𝓷𝓲𝓮 時髦西裝𝓪𝓮𝓽 - 黑色, S",服飾,T恤,3
M06 設計師款!莫奈的花園 緞面長洋 - S,服飾,洋裝,3
商品總金額 6411 TWD x,其他大類,其他,3
2023 年度經典賞鯨｜不含交通接送｜ 2500 NT x,服務、票券,旅遊票券,3
