ItemName,original_type,original_subtype,frequency
"林進限定-久賴呼呼被床包組-雙人三件組（不包含呼呼被） , 絕對黑",居家生活,傢具,3
2025信仰體育員工體適能教育訓練營 30 元 x,服務、票券,禮券,3
林進限定-久賴呼呼被-芝麻牛奶,居家生活,傢具,3
*加開平日【台中】2025/7/1(二)09:30~16:00基礎+進階班,服務、票券,禮券,3
*加開【台北】2025/11/22(六)上午基礎班：09:30～12:30(強烈建議上下午一起報名),服務、票券,禮券,3
*加開【台北】2025/11/22(六)下午進階班：13:30～16:30(僅開放舊生或基礎班學員),服務、票券,禮券,3
林進限定-久賴呼呼被-絕對黑,居家生活,傢具,3
林進限定-久賴呼呼被-燕麥奶 預購1月中陸續出貨!,居家生活,傢具,3
2025修復塑造地藏聖像 210 元 x,教育與社會服務,公益捐款,3
林聰明沙鍋菜 1000g,食品,生鮮食品,3
林美琴刷卡區,其他大類,其他,3
[預購] 刺繡花襯衫領洋裝,服飾,洋裝,3
[預購] [MAMAMOO+] - GRIPTOK 氣墊支架 / 1ST FAN CONCERT [TWO RABBITS CODE] OFFICIAL MD 官方周邊 (預計2023.11月底~12月初左右到台發貨),娛樂、收藏,明星偶像商品,3
林進限定-久賴呼呼被-摸魚熊熊 預購1月中陸續出貨!,居家生活,傢具,3
林進限定-久賴呼呼被-摸魚熊熊 預購12月底陸續出貨!,居家生活,傢具,3
林輝瑝 聯名款餅乾,食品,零食,3
2025修復塑造地藏聖像 150 元 x,教育與社會服務,公益捐款,3
林淩華-烘培商品,食品,蛋糕,3
[預購] TWICE - READY TO BE / 12TH MINI ALBUM (Digipack ver)【請先選擇通路後再下單~】,娛樂、收藏,CD&DVD,3
[預購] TWICE - READY TO BE / 12TH MINI ALBUM (Digipack ver)[通路特典/封面隨機]【請先選擇通路後再下單~】,娛樂、收藏,CD&DVD,3
[預購] Stray Kids The 3rd Album ★★★★★ (5-STAR) (DIGIPACK VER.)【請先選擇通路後再下單~】,娛樂、收藏,CD&DVD,3
[預購] Mini x 灰調｜奶霜拿鐵小圓水泥收納盤-單一規格,居家生活,床,3
林芙月專屬付款連結,其他大類,其他,3
[預購] JIHYO The 1st Mini Album ZONE (Digipack Ver.) 🔵請先選擇要預購的通路後再下單~🔵,娛樂、收藏,明星偶像商品,3
[預購] IU-엽서컬렉션 明信片組 /CGV_아이유 콘서트 더 골든 아워_官方周邊 (預計2023.10月底左右到台發貨),娛樂、收藏,明星偶像商品,3
[預購] IU-아크릴 키트 壓克力立牌組 /CGV_아이유 콘서트 더 골든 아워_官方周邊 (預計2023.10月底左右到台發貨),娛樂、收藏,明星偶像商品,3
[預購] TWICE - TWICE MONOGRAPH READY TO BE,娛樂、收藏,CD&DVD,3
[預購] TWICE - TWICE MONOGRAPH BETWEEN 1&2,娛樂、收藏,CD&DVD,3
林綉庭琪團購,居家生活,餐廚,3
林畹芝-烘培商品,食品,餐飲,3
2025仙兔9.0 水晶鑰匙圈-單一規格,娛樂、收藏,桌遊,3
2025亞洲新聞專業論壇學生單日票Student One Day Ticket,服務、票券,課程,3
2025來KID TAKAO家主題可調球帽,包包/配件/精品,帽子,3
[預購] FREIZEIT · 費瑞特 · 情人節限定款短袖(旺來蘇打),服務、票券,其他活動,3
[預購] FREIZEIT · 費瑞特 · 刺繡字母連帽外套(黑橘),服飾,內睡衣,3
[預購] Babytoly- Popcorn Vest 底色純色客製色- Rainbow popcorn (彩虹球球版本）,服飾,其他服飾,3
2025二月,服飾,針織,3
[預購] AAPE · 心形LOGO開衫外套,服飾,內睡衣,3
[預購/6月中到貨]芹菜汁生活x美國Omega MM400BL13冷萃慢磨機,家電影音,廚房家電,3
[預購/4月底到貨]食禾惠超市x美國Omega MM900HDS冷萃慢磨機,家電影音,廚房家電,3
(3D HFR)阿凡達：水之道 3D雙人電影吉拿套票 G排12號、(3D HFR)阿凡達：水之道 3D雙人電影吉拿套票 G排13號、 1009 新台幣 x,服務、票券,門票,3
[預購] FREIZEIT · 費瑞特 · 撞色條紋衛衣(黑灰),服飾,外套,3
[預購] FREIZEIT · 費瑞特 · 情人節限定款短袖(濃情黑巧)[預購] FREIZEIT · 費瑞特 · 情人節限定款短袖(濃情黑巧),服務、票券,其他活動,3
[青澤] 東部餅禮盒(柚子酥3入+烏豆蛋黃酥3入+芋頭流芯奶皇酥3入)(含運),食品,餐飲,3
[電子券] 台北君悅 凱菲屋平日午晚餐券,其他大類,其他,3
[雙𝟭𝟭限定] NOVATEC R6 PRO Gen1 碳纖維公路車碟煞輪組 - R6 PRO Gen1,汽機車零件百貨,汽車百貨,3
林憶蓮 Love Sandy 限量圖膠1LP,美妝保養,美甲,3
林慧珊委任律師費用,書籍及雜誌期刊,教科參考書,3
2025九月,服飾,針織,3
2025主客場可調球帽,包包/配件/精品,帽子,3
[雙11超值購]好聰敏3益生菌(6+6盒),書籍及雜誌期刊,電子書及周邊,3
林強 時間浸漬 Bioerosion2024全新專輯 黑膠1LP,娛樂、收藏,CD&DVD,3
[限量補貨]EMC Royalty Coach Jacket (Black),汽機車零件百貨,汽車零件,3
地中海烤時蔬披薩(奶素) Mediterranean Roasted Veggie Pizza,食品,蛋糕,3
AND.U禾顗國際│Ricόrso韓國頂級天然植萃台灣總代理商城商品一批,居家生活,園藝植作,3
"[限時75折] YOW Amatriain 33.5"" Surfskate 衝浪滑板*",戶外/旅行,滑板,3
[雙重修護]Motherlove哺乳舒緩呵護膏29.5ml+修護屁屁膏29.5ml-哺乳呵護膏＋屁屁膏,嬰幼童與母親,嬰幼童保健,3
2025中秋｜星夜嚮月禮盒,居家生活,燈具,3
林桂華專屬課程,服務、票券,課程,3
